id,content,,
9.82796065236837E+017,RT @gerfingerpoken: George Washington Would Have Owned an AR-15 - American Thinker #2A #2ADefenders #DefendTheSecond #AR15 #gunssavelives #…,,
9.82795951130731E+017,RT @Emma4Change: I have absolutely no words... Thank you not only for your service but for standing with us as we #MarchForOurLives tomorro…,,
9.82795943538917E+017,RT @JackPosobiec: Counted at least 30 busses for #MarchForOurLives - where does all this funding come from? https://t.co/EcVxcVARnq,,
9.82795937872396E+017,RT @KathyLette: Julian Lennon is 55 tomorrow - that's 15 years older than his father lived to be. Imagine.... if the USA had tighter gun la…,,
9.8279591170431E+017,@TomiLahren weak rip on #marchforourLives 4 only being against NRA= lame bcuz #MAGA @potus accnts r kneejerk AGAIns… https://t.co/ZtP3w7OrfX,,
9.82795903483482E+017,RT @Emma4Change: I have absolutely no words... Thank you not only for your service but for standing with us as we #MarchForOurLives tomorro…,,
9.82795850899341E+017,RT @KathyLette: Julian Lennon is 55 tomorrow - that's 15 years older than his father lived to be. Imagine.... if the USA had tighter gun la…,,
9.82795835070173E+017,"RT @DaShanneStokes: \\""The only variable that can explain the high rate of mass shootings in America is its astronomical number of guns.\",,
,,,
,,,
9.82795827189035E+017,RT @tkocreative: Here on Staten Island #NY11TownHall @Ryan_Deitsch came from Florida to speak to the constituents as @dandonovan_ny has fai…,,
9.82795821002494E+017,RT @ThomasS26985726: @AynRandPaulRyan @jallman971 @Twitter @TwitterSupport KNOCK! KNOCK! KNOCK! Hello @Twitter! HELLO @TwitterSupport! how…,,
9.82795817365987E+017,"RT @cameron_kasky: A formal, well-produced, totally not unscripted message from #MarchForOurLives https://t.co/Velxih8q3B",,
9.82795815872795E+017,"RT @AMarch4OurLives: 1,300 children shot to death every year in the United States. We cannot let this statistic be normalized in our societ…",,
9.82795799691055E+017,"RT @realFireNunes: .@devinnunes starts ignoring his constituents early on -right at voting age!

He was a no-show at the #MarchForOurLives…",,
9.82795792195834E+017,"RT @Dsp09876: Ada PRT tetangga sebelah yang nantangin photoshot nude demi sejumlah rupiah *fiksi
#EarthHour #MarchForOurLives  #AusGP #GoGe…",,
9.82795759778017E+017,RT @NetflixMulhouse: @Steve03343829 @creid0913 @Bev4Hope @SuzetteLT @davidhogg111 @DeepInTheHills @_Diogenesis_ @sammypolsen12 @Dax_x98 @Em…,,
9.82795755239817E+017,"RT @Dsp09876: Biar gak dekil, ane gw minta tolong tante majikannya buat mandiin dia dulu *fiksi
#EarthHour #MarchForOurLives  #AusGP #GoGeg…",,
9.82795746180321E+017,RT @OldBookClub: The Founders never intended for women to vote. #MarchForOurLives,,
9.82795716148969E+017,"RT @Dsp09876: Parade tante tante gesrek yang lagi pada Arisan brondong
#EarthHour #MarchForOurLives  #AusGP #GoGegaria https://t.co/qRE5Evt…",,
9.82795689204662E+017,RT @Emma4Change: I have absolutely no words... Thank you not only for your service but for standing with us as we #MarchForOurLives tomorro…,,
9.8279567866461E+017,"RT @AMarch4OurLives: 1,300 children shot to death every year in the United States. We cannot let this statistic be normalized in our societ…",,
9.82795661287371E+017,"RT @Dsp09876: Ada yang mau jadi bahan arisan brondongnya? Part 2 
#EarthHour #MarchForOurLives  #AusGP #GoGegaria https://t.co/byysXn5Lut",,
9.82795640693342E+017,"RT @Dsp09876: Meni bulet pisan ya sama si eneng. Serasa pengen ri tits job
#EarthHour #MarchForOurLives  #AusGP https://t.co/FTla5aua3G",,
9.8279556170213E+017,"RT @BettyBowers: NEW VIDEO: If you’re going to #MarchForOurLives events this weekend, make sure you’re armed — with snappy comebacks to the…",,
9.82795544497041E+017,RT @NetflixMulhouse: @creid0913 @Steve03343829 @Bev4Hope @SuzetteLT @davidhogg111 @DeepInTheHills @_Diogenesis_ @sammypolsen12 @Dax_x98 @Em…,,
9.82795494677074E+017,RT @_SemaHernandez_: Thank you @jeremycorbyn for speaking up. Certain elected officials in this country continue to approve billions for wa…,,
9.82795445889102E+017,"RT @AMarch4OurLives: 1,300 children shot to death every year in the United States. We cannot let this statistic be normalized in our societ…",,
9.82795429938106E+017,"RT @IWillRedPillU: President Trump to Skip the ''So Fake'' Washington Correspondents Dinner ������
Liberals Losing Their Minds-
#AQuietPlace #Fr…",,
9.82795397109289E+017,"RT @ResistancePete: I just wanted to let those #MSDStudents #MarchForOurLives kids, you're doing a great job. Keep it up. Keep your chin up…",,
9.82795347029246E+017,"RT @Emma4Change: The best signs at the #MarchForOurLives by Teen Vogue - tell me why im cryin in this car at 7:30 in the got dam morning
ht…",,
9.82795223586624E+017,"RT @ericswalwell: When our children are free from violence they are free to live. When they are free from fear, they are free to learn. And…",,
9.82795198433505E+017,"I just wanted to let those #MSDStudents #MarchForOurLives kids, you're doing a great job. Keep it up. Keep your chi… https://t.co/xKkHL7Ni7N",,
9.8279518515848E+017,"Students come together to create change. ������

Politicians come together to create chaos. ������

#gunsense #Congress… https://t.co/xlZdG0vd4C",,
9.82795145526629E+017,RT @Terryg1979: @DavidCornDC #CommonSenseGunControl #MarchForOurLives                                         #NeverAgain #EnoughIsEnough #…,,
9.82795106070729E+017,"Yes, and he's upset at you and all the democRATS along with the #MarchForOurLives #ShitShow https://t.co/8PMl4SbAXt",,
9.82795088169447E+017,RT @TedDeutch: #FlashbackFriday to chatting with Kyle Laman the night before the #MarchForOurLives.  Kyle is a hero. He helped identify the…,,
9.82795045580485E+017,RT @ItsMeCathi: ������❄️This is a #MarchForOurLives #FBRParty . I'm having a party for those of us who can't get out to protest. Post your fav #…,,
